,precision,recall,f1-score,support
0,0.904642409033877,0.6979670861568248,0.7879781420765027,1033.0
1,0.4885245901639344,0.7967914438502673,0.6056910569105691,374.0
accuracy,0.7242359630419332,0.7242359630419332,0.7242359630419332,0.7242359630419332
macro avg,0.6965834995989058,0.747379265003546,0.6968345994935359,1407.0
weighted avg,0.7940325552617672,0.7242359630419332,0.7395237214282732,1407.0
