,precision,recall,f1-score,support
0,0.9026217228464419,0.6999031945788964,0.7884405670665212,1033.0
1,0.4884488448844885,0.7914438502673797,0.6040816326530613,374.0
accuracy,0.7242359630419332,0.7242359630419332,0.7242359630419332,0.7242359630419332
macro avg,0.6955352838654651,0.7456735224231381,0.6962610998597912,1407.0
weighted avg,0.7925288611849135,0.7242359630419332,0.7394354203212233,1407.0
