,precision,recall,f1-score,support
0,0.9013563501849569,0.707647628267183,0.7928416485900217,1033.0
1,0.49328859060402686,0.786096256684492,0.6061855670103092,374.0
accuracy,0.728500355366027,0.728500355366027,0.728500355366027,0.728500355366027
macro avg,0.6973224703944918,0.7468719424758374,0.6995136078001655,1407.0
weighted avg,0.792886313167709,0.728500355366027,0.7432258884544052,1407.0
