,precision,recall,f1-score,support
0,0.829136690647482,0.8925459825750242,0.8596736596736597,1033.0
1,0.6237288135593221,0.4919786096256685,0.5500747384155455,374.0
accuracy,0.7860696517412935,0.7860696517412935,0.7860696517412935,0.7860696517412935
macro avg,0.726432752103402,0.6922622961003463,0.7048741990446026,1407.0
weighted avg,0.7745364447121786,0.7860696517412935,0.7773779975908347,1407.0
