,precision,recall,f1-score,support
0,0.8249551166965888,0.8896418199419167,0.856078248719143,1033.0
1,0.6109215017064846,0.4786096256684492,0.5367316341829086,374.0
accuracy,0.7803837953091685,0.7803837953091685,0.7803837953091685,0.7803837953091685
macro avg,0.7179383092015368,0.6841257228051829,0.6964049414510258,1407.0
weighted avg,0.7680620306935334,0.7803837953091685,0.7711915153598311,1407.0
