,precision,recall,f1-score,support
0,0.8358881875563571,0.8973862536302033,0.865546218487395,1033.0
1,0.6442953020134228,0.5133689839572193,0.5714285714285714,374.0
accuracy,0.7953091684434968,0.7953091684434968,0.7953091684434968,0.7953091684434968
macro avg,0.7400917447848899,0.7053776187937113,0.7184873949579832,1407.0
weighted avg,0.7849601568576667,0.7953091684434968,0.7873656925456749,1407.0
