,precision,recall,f1-score,support
0,0.857,0.829622458857696,0.8430890309886867,1033.0
1,0.5675675675675675,0.6176470588235294,0.5915492957746479,374.0
accuracy,0.7732764747690121,0.7732764747690121,0.7732764747690121,0.7732764747690121
macro avg,0.7122837837837838,0.7236347588406127,0.7173191633816673,1407.0
weighted avg,0.7800648687066597,0.7732764747690121,0.7762263010881533,1407.0
