,precision,recall,f1-score,support
0,0.8357798165137614,0.8818973862536302,0.8582195007065473,1033.0
1,0.6151419558359621,0.5213903743315508,0.5643994211287988,374.0
accuracy,0.7860696517412935,0.7860696517412935,0.7860696517412935,0.7860696517412935
macro avg,0.7254608861748617,0.7016438802925905,0.7113094609176731,1407.0
weighted avg,0.777131230946244,0.7860696517412935,0.7801180723042176,1407.0
