,precision,recall,f1-score,support
0,0.8342440801457195,0.8867376573088093,0.8596902862505866,1033.0
1,0.6213592233009708,0.5133689839572193,0.5622254758418741,374.0
accuracy,0.7874911158493249,0.7874911158493249,0.7874911158493249,0.7874911158493249
macro avg,0.7278016517233452,0.7000533206330143,0.7109578810462304,1407.0
weighted avg,0.7776563498970087,0.7874911158493249,0.7806200381391023,1407.0
