,precision,recall,f1-score,support
0,0.8160504959422904,0.8760890609874153,0.8450046685340803,1033.0
1,0.5704697986577181,0.45454545454545453,0.5059523809523809,374.0
accuracy,0.7640369580668088,0.7640369580668088,0.7640369580668088,0.7640369580668088
macro avg,0.6932601473000042,0.6653172577664349,0.6754785247432307,1407.0
weighted avg,0.750771760487827,0.7640369580668088,0.7548798955734864,1407.0
