,precision,recall,f1-score,support
0,0.8324420677361853,0.904162633107454,0.8668213457076566,1033.0
1,0.6526315789473685,0.49732620320855614,0.5644916540212443,374.0
accuracy,0.7960199004975125,0.7960199004975125,0.7960199004975125,0.7960199004975125
macro avg,0.7425368233417768,0.7007444181580051,0.7156564998644505,1407.0
weighted avg,0.784645960552804,0.7960199004975125,0.7864579450745945,1407.0
