,precision,recall,f1-score,support
0,0.9025316455696203,0.6902226524685382,0.7822270981897971,1033.0
1,0.4813614262560778,0.7941176470588235,0.5993945509586277,374.0
accuracy,0.7178393745557925,0.7178393745557925,0.7178393745557925,0.7178393745557925
macro avg,0.691946535912849,0.7421701497636808,0.6908108245742124,1407.0
weighted avg,0.7905787940960844,0.7178393745557925,0.7336276862036867,1407.0
