,precision,recall,f1-score,support
0,0.8322813345356177,0.89351403678606,0.861811391223156,1033.0
1,0.6308724832214765,0.5026737967914439,0.5595238095238095,374.0
accuracy,0.7896233120113717,0.7896233120113717,0.7896233120113717,0.7896233120113717
macro avg,0.7315769088785471,0.6980939167887519,0.7106676003734828,1407.0
weighted avg,0.778744084790423,0.7896233120113717,0.7814591840052771,1407.0
